Date,Service,Region,ActualCostUSD,ReservedInstance,UnderutilizedRI,ForecastedCostUSD
2024-01-01,S3,ap-southeast-1,16.52,False,False,19.0
2024-01-01,DynamoDB,us-east-1,43.74,True,False,43.05
2024-01-01,RDS,us-west-2,20.26,False,False,23.5
2024-01-01,EBS,us-east-1,107.88,False,False,115.5
2024-01-01,Lambda,eu-west-1,61.63,False,False,60.46
2024-01-01,S3,eu-west-1,51.88,False,False,50.71
2024-01-02,EBS,ap-southeast-1,15.86,False,False,23.76
2024-01-02,CloudFront,us-west-2,21.25,True,False,25.09
2024-01-02,EC2,ap-southeast-1,57.57,True,False,55.22
2024-01-03,Elastic Beanstalk,ap-southeast-1,72.98,False,False,75.69
2024-01-03,S3,ap-southeast-1,22.3,False,False,19.98
2024-01-03,Elastic Beanstalk,us-east-1,302.45,True,True,300.12
2024-01-03,Lambda,us-east-1,9.05,True,False,10.26
2024-01-03,EC2,us-east-1,54.22,False,False,44.65
2024-01-03,CloudFront,eu-west-1,55.08,True,False,46.46
2024-01-04,DynamoDB,us-west-2,62.97,False,False,60.16
2024-01-04,RDS,eu-west-1,503.93,True,True,498.87
2024-01-04,S3,ap-southeast-1,29.1,False,False,30.67
2024-01-05,CloudFront,us-east-1,46.59,True,False,42.05
2024-01-05,RDS,ap-southeast-1,64.41,True,False,57.35
2024-01-05,EC2,eu-west-1,70.25,True,False,77.58
2024-01-05,CloudFront,ap-southeast-1,95.29,True,False,94.16
2024-01-05,S3,ap-southeast-1,43.9,False,False,44.24
2024-01-06,CloudFront,ap-southeast-1,89.9,True,False,82.78
2024-01-06,DynamoDB,eu-west-1,38.26,True,False,35.54
2024-01-06,Lambda,eu-west-1,54.22,False,False,54.77
2024-01-06,RDS,us-east-1,9.99,True,False,4.24
2024-01-06,S3,eu-west-1,48.33,True,True,50.21
2024-01-06,DynamoDB,ap-southeast-1,11.36,False,False,8.36
2024-01-07,S3,us-west-2,47.23,True,True,45.77
2024-01-07,Elastic Beanstalk,us-west-2,150.64,False,False,147.63
2024-01-07,EC2,us-west-2,65.25,False,False,74.51
2024-01-07,S3,eu-west-1,17.02,True,False,16.95
2024-01-08,EC2,eu-west-1,29.47,False,False,24.18
2024-01-08,S3,ap-southeast-1,35.11,False,False,39.22
2024-01-08,CloudFront,us-east-1,52.2,False,False,46.1
2024-01-09,CloudFront,ap-southeast-1,34.32,False,False,35.36
2024-01-09,CloudFront,us-west-2,37.83,False,False,28.03
2024-01-09,CloudFront,us-east-1,33.68,False,False,27.04
2024-01-09,CloudFront,us-east-1,18.01,True,False,18.99
2024-01-09,CloudFront,us-west-2,31.47,False,False,35.16
2024-01-09,EBS,eu-west-1,20.89,True,True,21.75
2024-01-10,RDS,ap-southeast-1,67.92,True,False,67.34
2024-01-10,DynamoDB,eu-west-1,24.26,True,False,22.75
2024-01-10,EC2,eu-west-1,34.7,False,False,27.31
2024-01-10,EBS,us-east-1,28.83,False,False,25.23
2024-01-10,S3,us-west-2,27.46,True,False,25.16
2024-01-11,Elastic Beanstalk,us-east-1,40.68,True,False,45.97
2024-01-11,Lambda,eu-west-1,27.38,True,True,29.1
2024-01-11,CloudFront,eu-west-1,33.37,True,False,24.55
2024-01-11,CloudFront,us-east-1,60.35,False,False,61.97
2024-01-11,Elastic Beanstalk,ap-southeast-1,55.87,True,False,53.94
2024-01-12,S3,ap-southeast-1,20.74,False,False,17.36
2024-01-12,CloudFront,eu-west-1,67.2,True,False,70.26
2024-01-12,S3,eu-west-1,42.13,True,False,47.28
2024-01-12,DynamoDB,eu-west-1,162.33,True,False,166.99
2024-01-12,RDS,us-east-1,24.02,True,False,19.82
2024-01-13,S3,us-east-1,53.55,False,False,52.0
2024-01-13,EBS,us-east-1,37.64,True,False,39.3
2024-01-13,EC2,eu-west-1,14.31,True,False,19.19
2024-01-13,S3,eu-west-1,27.99,True,False,25.59
2024-01-13,RDS,us-west-2,25.05,False,False,24.12
2024-01-14,Lambda,eu-west-1,27.19,False,False,21.66
2024-01-14,CloudFront,eu-west-1,55.48,True,False,49.5
2024-01-14,EBS,ap-southeast-1,87.26,True,True,91.32
2024-01-14,S3,ap-southeast-1,22.67,True,True,29.45
