TicketID,CreatedDate,ResolvedDate,Priority,AssignedTeam,Subject
7759c5f7,2024-11-05 20:00:00,2024-11-08 09:00:00,Medium,Support B,Login Issue
53f7730c,2025-05-13 14:00:00,2025-05-15 21:00:00,Low,Support B,Login Issue
513f0b19,2025-05-06 18:00:00,2025-05-11 19:00:00,Low,Support A,Feature Request
0ec19071,2025-05-05 07:00:00,2025-05-08 09:00:00,Critical,Support C,Connectivity
ef8b4792,2025-03-07 04:00:00,2025-03-09 00:00:00,High,Support A,Feature Request
ae26a0ff,2025-02-06 20:00:00,2025-02-07 21:00:00,Critical,Support A,Connectivity
81fdcc88,2025-05-27 22:00:00,2025-05-28 07:00:00,High,Support B,Error Message
45dfd59e,2025-06-19 01:00:00,2025-06-21 05:00:00,High,Support A,Slow Performance
b7e3a3c8,2024-10-20 10:00:00,2024-10-21 15:00:00,High,Support B,Connectivity
29f29149,2025-05-11 06:00:00,2025-05-11 19:00:00,Medium,Support C,Login Issue
f454f09a,2025-04-03 10:00:00,2025-04-04 18:00:00,Critical,Support C,Feature Request
ae889e9b,2025-05-21 10:00:00,2025-05-22 08:00:00,High,Support C,Error Message
66d691da,2025-06-17 15:00:00,2025-06-21 07:00:00,Low,Support A,Login Issue
18c62cf1,2025-02-21 12:00:00,2025-02-24 09:00:00,Medium,Support B,Error Message
879e2e45,2025-02-10 03:00:00,2025-02-12 02:00:00,Critical,Support C,Slow Performance
0b75ed48,2025-01-30 15:00:00,2025-02-03 02:00:00,High,Support B,Feature Request
45b14973,2024-10-06 10:00:00,2024-10-08 11:00:00,Low,Support B,Feature Request
12906172,2024-12-10 05:00:00,2024-12-11 08:00:00,Critical,Support C,Slow Performance
a0faf641,2024-11-02 01:00:00,2024-11-05 13:00:00,Critical,Support C,Feature Request
820dbae8,2025-01-08 15:00:00,2025-01-11 03:00:00,Medium,Support B,Connectivity
cb1cd7a6,2025-05-22 19:00:00,2025-05-23 18:00:00,Critical,Support C,Error Message
b9395273,2025-01-10 09:00:00,2025-01-12 04:00:00,Medium,Support B,Login Issue
eda6df66,2025-05-10 07:00:00,2025-05-11 09:00:00,High,Support B,Slow Performance
94842ffe,2025-04-29 11:00:00,2025-04-30 01:00:00,Medium,Support C,Connectivity
5b490144,2025-06-25 12:00:00,2025-06-28 10:00:00,Low,Support A,Login Issue
ee348d29,2024-11-19 08:00:00,2024-11-23 05:00:00,Medium,Support C,Login Issue
2b9c07e5,2025-04-08 19:00:00,2025-04-09 09:00:00,Low,Support A,Slow Performance
3496035e,2025-02-19 01:00:00,2025-02-21 14:00:00,Medium,Support B,Connectivity
0e020556,2025-03-21 13:00:00,2025-03-22 21:00:00,Critical,Support B,Login Issue
9af9bf79,2025-06-24 12:00:00,2025-06-26 00:00:00,High,Support A,Login Issue
a3a4942f,2025-04-20 19:00:00,2025-04-22 04:00:00,Low,Support B,Connectivity
9fbaaefc,2025-01-30 00:00:00,2025-01-31 03:00:00,Medium,Support A,Feature Request
8ce90c0b,2024-10-20 18:00:00,2024-10-22 19:00:00,Medium,Support A,Login Issue
97839b1d,2024-11-15 02:00:00,2024-11-16 06:00:00,Medium,Support B,Error Message
ba014285,2025-01-15 14:00:00,2025-01-17 20:00:00,Critical,Support A,Connectivity
3863180e,2024-12-25 07:00:00,2024-12-27 05:00:00,Critical,Support C,Login Issue
d01e020e,2025-01-23 11:00:00,2025-01-25 05:00:00,Low,Support C,Slow Performance
c550a780,2024-11-10 15:00:00,2024-11-11 17:00:00,Low,Support B,Error Message
0fc16ce2,2024-12-15 06:00:00,2024-12-16 16:00:00,Critical,Support B,Login Issue
243bea92,2024-10-08 21:00:00,2024-10-11 15:00:00,Low,Support A,Error Message
883f4d9a,2025-01-22 22:00:00,2025-01-25 10:00:00,High,Support A,Error Message
90e6929b,2025-02-03 05:00:00,2025-02-04 05:00:00,High,Support A,Feature Request
689fdc7f,2025-04-13 02:00:00,2025-04-15 04:00:00,Critical,Support A,Error Message
0c57aa26,2024-12-19 03:00:00,2024-12-21 21:00:00,Low,Support C,Feature Request
b7911509,2024-11-22 19:00:00,2024-11-23 02:00:00,Medium,Support C,Connectivity
bd5bbb24,2024-12-03 16:00:00,2024-12-06 05:00:00,High,Support B,Feature Request
5979bb3b,2025-02-11 10:00:00,2025-02-12 18:00:00,Critical,Support A,Slow Performance
3969f2f5,2025-02-26 04:00:00,2025-02-28 17:00:00,Low,Support A,Login Issue
fd941a97,2025-03-12 02:00:00,2025-03-13 07:00:00,Critical,Support B,Connectivity
