CustomerID,AcquisitionDate
C001,2024-01-24
C002,2024-04-07
C003,2024-01-25
C004,2024-04-01
C005,2024-03-29
C006,2024-06-03
C007,2024-03-08
C008,2024-01-12
C009,2024-04-27
C010,2024-05-17
C011,2024-02-01
C012,2024-04-06
C013,2024-01-21
C014,2024-05-21
C015,2024-03-16
C016,2024-06-09
C017,2024-06-07
C018,2024-04-02
C019,2024-05-27
C020,2024-02-19
C021,2024-06-29
C022,2024-01-18
C023,2024-01-12
C024,2024-06-18
C025,2024-02-28
C026,2024-03-15
C027,2024-01-21
C028,2024-02-29
C029,2024-01-26
C030,2024-04-07
C031,2024-03-12
C032,2024-04-26
C033,2024-06-11
C034,2024-04-03
C035,2024-02-11
C036,2024-04-04
C037,2024-03-31
C038,2024-02-23
C039,2024-06-20
C040,2024-03-09
C041,2024-06-28
C042,2024-06-23
C043,2024-06-14
C044,2024-01-19
C045,2024-06-04
C046,2024-06-11
C047,2024-02-13
C048,2024-05-16
C049,2024-03-03
C050,2024-02-11
C051,2024-04-28
C052,2024-04-07
C053,2024-03-10
C054,2024-06-12
C055,2024-06-25
C056,2024-05-22
C057,2024-02-26
C058,2024-06-24
C059,2024-03-24
C060,2024-01-15
