Date,Cost
2024-01-07,2278.85
2024-01-14,1050.02
2024-01-21,1550.06
2024-01-28,1446.42
2024-02-04,2472.94
2024-02-11,2353.4
2024-02-18,2784.36
2024-02-25,1173.88
2024-03-03,1843.84
2024-03-10,1059.59
2024-03-17,1437.28
2024-03-24,2010.71
2024-03-31,1053.07
2024-04-07,1397.68
2024-04-14,2299.77
2024-04-21,2089.88
2024-04-28,1440.88
2024-05-05,2178.53
2024-05-12,2618.86
2024-05-19,1013.0
2024-05-26,2611.64
2024-06-02,2396.28
2024-06-09,1680.5
2024-06-16,1310.96
2024-06-23,2914.43
2024-06-30,1673.19
