Date,Campaign,Channel,TotalUsers,ConvertedUsers
2025-01-11,Fall Promo,Direct,434,105
2025-06-28,Holiday Push,Social Media,353,65
2025-01-15,Q1 Launch,Social Media,303,9
2024-12-11,Fall Promo,Email,189,21
2025-04-07,Holiday Push,Social Media,86,10
2024-10-21,Holiday Push,Affiliate,209,40
2025-01-11,Q1 Launch,Paid Search,58,5
2025-01-30,Spring Sale,Email,282,18
2025-05-03,Fall Promo,Social Media,148,6
2024-12-27,Q1 Launch,Email,196,23
2025-01-08,Fall Promo,Email,353,63
2025-03-01,Holiday Push,Paid Search,257,9
2025-02-08,Holiday Push,Affiliate,180,41
2025-02-27,Spring Sale,Email,453,55
2025-06-15,Holiday Push,Social Media,201,15
2025-04-10,Holiday Push,Direct,103,4
2025-03-10,Q1 Launch,Email,169,10
2024-10-22,Fall Promo,Email,210,49
2025-06-10,Fall Promo,Paid Search,457,76
2025-05-24,Q1 Launch,Affiliate,165,23
2024-11-18,Spring Sale,Direct,124,21
2024-11-28,Fall Promo,Social Media,162,19
2025-03-19,Holiday Push,Direct,469,88
2025-04-06,Fall Promo,Social Media,471,15
2025-06-28,Holiday Push,Affiliate,153,23
2025-04-08,Spring Sale,Social Media,389,22
2025-03-24,Q1 Launch,Paid Search,303,14
2024-11-20,Fall Promo,Paid Search,276,27
2024-11-24,Q1 Launch,Paid Search,161,7
2025-06-01,Fall Promo,Paid Search,148,6
2025-02-08,Holiday Push,Direct,202,19
2025-02-12,Q1 Launch,Affiliate,398,98
2024-10-21,Fall Promo,Social Media,451,27
2025-03-16,Holiday Push,Social Media,433,10
2024-12-28,Q1 Launch,Paid Search,415,81
2024-10-14,Q1 Launch,Paid Search,387,80
2025-05-30,Fall Promo,Email,243,24
2025-06-22,Fall Promo,Affiliate,359,46
2024-11-22,Fall Promo,Direct,212,36
2024-12-31,Holiday Push,Social Media,257,8
2025-06-21,Fall Promo,Email,494,118
2024-11-04,Q1 Launch,Email,218,49
2025-04-24,Q1 Launch,Social Media,210,17
2024-12-20,Fall Promo,Direct,117,3
2024-11-19,Fall Promo,Email,338,79
2024-10-02,Spring Sale,Email,447,60
2024-11-23,Q1 Launch,Affiliate,326,47
2025-01-14,Holiday Push,Direct,353,63
2025-06-17,Spring Sale,Email,453,73
2025-04-09,Fall Promo,Direct,433,103
2025-05-06,Fall Promo,Social Media,441,105
2024-11-13,Q1 Launch,Paid Search,184,40
2025-03-11,Fall Promo,Email,244,41
2025-04-20,Holiday Push,Affiliate,450,92
2025-06-27,Q1 Launch,Social Media,177,31
2025-06-28,Fall Promo,Direct,82,12
2025-05-03,Q1 Launch,Social Media,225,11
2025-06-09,Fall Promo,Email,492,102
2025-04-08,Fall Promo,Direct,420,88
2025-05-01,Fall Promo,Paid Search,424,70
2025-04-26,Holiday Push,Social Media,71,15
2025-05-25,Holiday Push,Email,287,49
2024-11-22,Q1 Launch,Affiliate,207,14
2025-05-05,Fall Promo,Direct,87,7
2025-06-09,Fall Promo,Social Media,279,19
2025-04-06,Holiday Push,Social Media,414,44
2024-11-10,Fall Promo,Paid Search,100,3
2025-03-06,Holiday Push,Paid Search,487,79
2024-10-15,Fall Promo,Affiliate,313,30
2024-12-04,Q1 Launch,Affiliate,332,57
2024-10-09,Fall Promo,Email,76,8
2025-02-06,Fall Promo,Email,275,49
2025-02-13,Spring Sale,Affiliate,326,32
2024-12-02,Holiday Push,Affiliate,335,27
2025-02-16,Fall Promo,Direct,146,20
2024-12-20,Fall Promo,Paid Search,333,60
2025-03-12,Spring Sale,Email,416,42
2025-06-18,Spring Sale,Paid Search,497,117
2025-05-19,Holiday Push,Paid Search,366,11
2024-11-10,Spring Sale,Affiliate,353,41
2024-10-28,Q1 Launch,Direct,196,48
2025-02-12,Spring Sale,Social Media,53,8
2025-04-19,Q1 Launch,Direct,84,10
2025-06-25,Holiday Push,Direct,241,36
2024-11-02,Holiday Push,Paid Search,98,15
2024-11-17,Holiday Push,Direct,66,12
2024-12-01,Holiday Push,Email,221,11
2025-05-04,Holiday Push,Paid Search,269,21
2025-01-07,Q1 Launch,Email,207,32
2025-03-21,Q1 Launch,Social Media,95,21
2025-05-02,Holiday Push,Paid Search,422,63
2024-11-04,Spring Sale,Social Media,55,4
2025-05-15,Fall Promo,Paid Search,148,26
2025-01-09,Holiday Push,Affiliate,429,82
2025-02-08,Spring Sale,Direct,282,21
2025-06-14,Fall Promo,Affiliate,86,9
2024-10-05,Holiday Push,Social Media,329,47
2025-05-06,Holiday Push,Direct,398,53
2025-06-12,Q1 Launch,Paid Search,351,38
2025-04-25,Fall Promo,Direct,230,20
2024-10-15,Fall Promo,Email,144,6
2024-11-11,Spring Sale,Direct,148,5
2025-03-28,Q1 Launch,Email,237,57
2024-12-02,Q1 Launch,Direct,165,35
2025-05-19,Q1 Launch,Email,240,24
2025-05-29,Q1 Launch,Social Media,302,72
2024-11-21,Fall Promo,Affiliate,465,82
2025-01-04,Fall Promo,Paid Search,210,28
2025-05-10,Holiday Push,Direct,305,41
2025-05-19,Holiday Push,Affiliate,372,15
2025-05-25,Q1 Launch,Paid Search,177,7
2025-02-20,Q1 Launch,Paid Search,67,11
2025-03-20,Q1 Launch,Email,330,49
2024-10-29,Holiday Push,Social Media,272,19
2024-11-05,Spring Sale,Social Media,103,24
2024-10-13,Spring Sale,Affiliate,107,21
2025-03-09,Holiday Push,Social Media,372,17
2025-04-05,Holiday Push,Direct,409,96
2025-05-31,Holiday Push,Social Media,223,54
2024-12-25,Holiday Push,Affiliate,329,82
2024-12-05,Holiday Push,Social Media,163,5
2025-03-19,Holiday Push,Direct,337,64
2024-11-14,Q1 Launch,Email,480,70
2024-12-01,Q1 Launch,Affiliate,391,71
2025-02-11,Q1 Launch,Email,200,49
2024-10-28,Q1 Launch,Email,499,89
2025-01-16,Holiday Push,Email,176,37
2024-11-13,Spring Sale,Paid Search,204,45
2025-02-05,Fall Promo,Paid Search,435,93
2025-05-19,Holiday Push,Email,322,38
2025-04-08,Fall Promo,Affiliate,153,11
2025-05-13,Spring Sale,Direct,466,52
2025-01-29,Q1 Launch,Direct,442,100
2025-01-24,Spring Sale,Social Media,348,19
2025-05-21,Holiday Push,Affiliate,295,41
2025-06-16,Q1 Launch,Paid Search,225,17
2025-04-16,Holiday Push,Email,88,14
2025-02-14,Q1 Launch,Social Media,219,48
2025-03-14,Fall Promo,Direct,296,66
2025-05-13,Fall Promo,Paid Search,75,6
2025-05-22,Fall Promo,Paid Search,404,92
2025-03-21,Spring Sale,Email,355,55
2025-03-01,Holiday Push,Direct,458,46
2025-03-09,Spring Sale,Affiliate,457,84
2025-01-04,Fall Promo,Paid Search,62,8
2025-05-21,Holiday Push,Email,365,39
2025-03-29,Fall Promo,Affiliate,440,80
2025-01-21,Spring Sale,Direct,362,28
2024-11-21,Spring Sale,Paid Search,85,8
2025-06-25,Spring Sale,Affiliate,222,27
2025-01-21,Fall Promo,Affiliate,69,5
2025-01-09,Holiday Push,Affiliate,370,42
2025-01-21,Holiday Push,Paid Search,313,47
2024-12-20,Fall Promo,Paid Search,449,86
2025-04-05,Holiday Push,Social Media,191,38
2025-01-21,Fall Promo,Direct,420,88
2024-10-02,Holiday Push,Email,192,37
2025-02-07,Q1 Launch,Affiliate,141,25
2025-05-08,Q1 Launch,Social Media,403,30
2024-11-23,Spring Sale,Email,371,42
2025-05-12,Q1 Launch,Social Media,337,44
2025-05-13,Q1 Launch,Paid Search,264,10
2025-02-03,Q1 Launch,Affiliate,496,70
2025-02-07,Fall Promo,Email,391,47
2024-11-22,Q1 Launch,Email,100,20
2025-03-21,Q1 Launch,Email,202,49
2025-05-06,Spring Sale,Email,235,35
2025-03-09,Q1 Launch,Email,112,11
2025-04-16,Q1 Launch,Social Media,239,7
2025-06-04,Holiday Push,Affiliate,174,40
2025-04-21,Spring Sale,Paid Search,199,46
2025-04-02,Spring Sale,Paid Search,363,28
2025-01-31,Spring Sale,Paid Search,107,19
2025-06-12,Spring Sale,Paid Search,391,15
2025-01-06,Spring Sale,Social Media,354,21
2025-04-16,Spring Sale,Direct,229,16
2025-05-28,Fall Promo,Affiliate,219,19
2025-02-21,Q1 Launch,Email,375,93
2025-01-05,Spring Sale,Direct,320,58
2025-04-19,Q1 Launch,Paid Search,103,11
2025-02-01,Q1 Launch,Direct,493,93
2025-04-05,Fall Promo,Affiliate,150,35
2025-06-16,Spring Sale,Email,313,75
2025-02-25,Holiday Push,Email,102,3
