SubscriptionID,CustomerID,StartDate,EndDate,MonthlyFee,Product,Region,IsActive
1,1814,2022-03-10,2023-04-21,49.99,Enterprise,North America,False
2,1020,2023-01-22,,99.99,Enterprise,Europe,True
3,1742,2023-05-12,2024-09-06,99.99,Pro Plan,Asia-Pacific,False
4,1060,2022-08-02,,99.99,Pro Plan,Asia-Pacific,True
5,1998,2023-06-19,,99.99,Pro Plan,Europe,True
6,1115,2023-03-28,,49.99,Pro Plan,Asia-Pacific,True
7,1211,2024-01-10,,199.99,Basic Plan,Europe,True
8,1929,2023-10-14,,199.99,Enterprise,Europe,True
9,1963,2022-08-26,,29.99,Basic Plan,Asia-Pacific,True
10,1332,2024-03-06,2025-01-13,49.99,Enterprise,North America,False
11,1785,2024-05-21,2024-07-02,49.99,Pro Plan,Europe,False
12,1731,2023-08-21,,99.99,Enterprise,Asia-Pacific,True
13,1441,2023-07-07,2024-07-17,29.99,Enterprise,North America,False
14,1810,2023-09-16,2024-12-30,49.99,Pro Plan,Asia-Pacific,False
15,1087,2024-04-16,,99.99,Pro Plan,North America,True
16,1995,2023-01-05,,49.99,Basic Plan,Europe,True
17,1947,2022-05-24,2022-08-06,29.99,Pro Plan,Europe,False
18,1439,2023-12-17,,49.99,Enterprise,North America,True
19,1749,2023-12-11,,49.99,Enterprise,North America,True
20,1644,2023-11-05,,99.99,Basic Plan,North America,True
21,1348,2024-06-17,2024-08-10,99.99,Basic Plan,North America,False
22,1649,2023-06-26,,29.99,Enterprise,Asia-Pacific,True
23,1114,2023-07-01,2024-04-28,199.99,Pro Plan,North America,False
24,1855,2022-11-30,,199.99,Pro Plan,Europe,True
25,1473,2024-03-14,,29.99,Enterprise,Europe,True
26,1345,2022-09-06,2023-10-11,99.99,Basic Plan,Europe,False
27,1885,2023-04-13,2023-06-13,99.99,Pro Plan,Asia-Pacific,False
28,1952,2023-06-17,,49.99,Basic Plan,Europe,True
29,1400,2024-01-10,,49.99,Pro Plan,North America,True
30,1922,2023-05-17,,29.99,Enterprise,Asia-Pacific,True
31,1321,2022-01-24,,99.99,Enterprise,Europe,True
32,1861,2022-03-28,2023-02-23,29.99,Enterprise,Asia-Pacific,False
33,1469,2023-09-24,,49.99,Enterprise,Europe,True
34,1113,2022-04-07,,199.99,Enterprise,Europe,True
35,1069,2024-02-25,,99.99,Enterprise,Europe,True
36,1170,2022-03-22,2022-09-22,49.99,Pro Plan,North America,False
37,1112,2022-02-11,,99.99,Pro Plan,Asia-Pacific,True
38,1635,2024-03-17,,29.99,Basic Plan,Europe,True
39,1582,2022-07-31,,29.99,Basic Plan,Asia-Pacific,True
40,1274,2023-11-10,,29.99,Basic Plan,North America,True
41,1188,2023-01-13,,99.99,Enterprise,Europe,True
42,1335,2024-04-17,,49.99,Pro Plan,North America,True
43,1991,2023-02-19,,199.99,Enterprise,North America,True
44,1493,2022-07-26,2022-12-26,49.99,Basic Plan,Europe,False
45,1579,2024-03-18,2025-07-26,49.99,Basic Plan,Asia-Pacific,False
46,1233,2024-01-26,2024-10-06,99.99,Basic Plan,Europe,False
47,1387,2024-01-28,,199.99,Basic Plan,Asia-Pacific,True
48,1038,2023-07-21,,49.99,Basic Plan,Europe,True
49,1636,2022-03-02,,49.99,Pro Plan,Asia-Pacific,True
50,1294,2023-08-19,2024-12-01,199.99,Pro Plan,Europe,False
51,1387,2024-04-08,,199.99,Basic Plan,Asia-Pacific,True
52,1792,2023-09-02,,49.99,Basic Plan,Asia-Pacific,True
53,1420,2023-08-01,,199.99,Basic Plan,Asia-Pacific,True
54,1125,2022-09-14,2023-02-08,49.99,Enterprise,Europe,False
55,1615,2022-01-15,,99.99,Enterprise,Europe,True
56,1730,2022-01-10,2023-01-23,29.99,Basic Plan,Asia-Pacific,False
57,1746,2022-10-15,2022-11-25,29.99,Basic Plan,North America,False
58,1354,2022-10-14,,49.99,Basic Plan,Europe,True
59,1420,2023-01-15,,49.99,Enterprise,Asia-Pacific,True
60,1853,2023-07-28,,99.99,Pro Plan,Europe,True
61,1786,2022-01-11,,29.99,Basic Plan,Asia-Pacific,True
62,1112,2022-04-09,,29.99,Pro Plan,Europe,True
63,1793,2023-05-23,2024-10-02,199.99,Enterprise,Europe,False
64,1604,2023-06-15,2024-03-23,99.99,Pro Plan,North America,False
65,1519,2022-08-27,,49.99,Enterprise,Europe,True
66,1722,2023-05-22,,49.99,Basic Plan,Asia-Pacific,True
67,1349,2022-04-22,,199.99,Basic Plan,Europe,True
68,1973,2022-09-27,,99.99,Pro Plan,Asia-Pacific,True
69,1600,2022-08-16,2022-12-20,199.99,Pro Plan,Asia-Pacific,False
70,1693,2023-07-26,,49.99,Enterprise,North America,True
71,1341,2022-06-29,2023-07-22,29.99,Pro Plan,Asia-Pacific,False
72,1676,2022-09-05,,49.99,Enterprise,North America,True
73,1202,2023-04-22,,199.99,Basic Plan,North America,True
74,1806,2022-12-12,,199.99,Basic Plan,Asia-Pacific,True
75,1019,2022-03-28,2022-10-08,199.99,Enterprise,North America,False
76,1461,2022-08-15,,49.99,Pro Plan,North America,True
77,1489,2023-06-12,,99.99,Enterprise,North America,True
78,1129,2024-05-21,,29.99,Pro Plan,Europe,True
79,1271,2022-10-22,,199.99,Basic Plan,Europe,True
80,1724,2022-04-12,,49.99,Basic Plan,Asia-Pacific,True
81,1522,2023-08-19,2024-02-28,99.99,Basic Plan,North America,False
82,1192,2023-07-01,2023-08-06,49.99,Pro Plan,Asia-Pacific,False
83,1381,2022-08-30,,49.99,Pro Plan,North America,True
84,1222,2023-09-11,,29.99,Enterprise,Asia-Pacific,True
85,1157,2022-01-31,,49.99,Enterprise,Asia-Pacific,True
86,1244,2022-06-09,2022-09-10,49.99,Basic Plan,Europe,False
87,1020,2022-01-28,2022-07-21,99.99,Pro Plan,North America,False
88,1961,2023-06-29,,99.99,Enterprise,North America,True
89,1511,2023-01-04,,29.99,Basic Plan,Europe,True
90,1235,2023-02-14,,49.99,Pro Plan,Europe,True
91,1995,2023-11-30,2024-07-07,49.99,Basic Plan,North America,False
92,1356,2022-04-12,,49.99,Basic Plan,Europe,True
93,1488,2022-11-23,,199.99,Basic Plan,Europe,True
94,1468,2024-02-16,,99.99,Basic Plan,Asia-Pacific,True
95,1174,2023-04-08,,29.99,Pro Plan,Asia-Pacific,True
96,1726,2023-08-19,2024-10-21,49.99,Enterprise,North America,False
97,1313,2023-09-04,,29.99,Pro Plan,Asia-Pacific,True
98,1085,2024-06-02,,99.99,Pro Plan,North America,True
99,1704,2024-02-08,2024-06-09,49.99,Enterprise,Asia-Pacific,False
100,1686,2023-08-20,2024-04-30,49.99,Pro Plan,Europe,False
101,1337,2024-01-11,,29.99,Enterprise,Asia-Pacific,True
102,1849,2023-05-21,2024-08-16,29.99,Pro Plan,Asia-Pacific,False
103,1886,2023-10-18,2023-11-30,199.99,Pro Plan,North America,False
104,1766,2023-05-17,,49.99,Pro Plan,Asia-Pacific,True
105,1604,2023-08-28,,49.99,Enterprise,Asia-Pacific,True
106,1551,2023-09-20,,49.99,Pro Plan,North America,True
107,1762,2022-09-30,2024-01-18,99.99,Pro Plan,Asia-Pacific,False
108,1089,2022-09-15,,199.99,Pro Plan,Europe,True
109,1698,2022-12-17,,199.99,Basic Plan,North America,True
110,1167,2023-02-28,2023-08-26,29.99,Basic Plan,Asia-Pacific,False
111,1028,2023-04-21,2024-02-21,49.99,Enterprise,Europe,False
112,1269,2023-03-29,2023-08-14,199.99,Basic Plan,Asia-Pacific,False
113,1600,2023-12-17,2025-01-04,99.99,Basic Plan,North America,False
