CustomerID,ResponseDate,NPS_Score
CUST1000,2024-06-12,10
CUST1001,2024-01-29,9
CUST1002,2024-01-07,5
CUST1003,2024-03-11,1
CUST1004,2024-03-03,6
CUST1005,2024-02-27,5
CUST1006,2024-02-05,4
CUST1007,2024-01-27,10
CUST1008,2024-06-22,10
CUST1009,2024-05-19,6
CUST1010,2024-01-23,9
CUST1011,2024-05-31,7
CUST1012,2024-04-18,10
CUST1013,2024-01-09,7
CUST1014,2024-01-08,5
CUST1015,2024-01-24,5
CUST1016,2024-02-25,8
CUST1017,2024-02-29,5
CUST1018,2024-05-09,8
CUST1019,2024-06-03,10
CUST1020,2024-01-07,7
CUST1021,2024-05-23,5
CUST1022,2024-02-20,10
CUST1023,2024-06-15,8
CUST1024,2024-06-28,2
CUST1025,2024-05-19,1
CUST1026,2024-04-17,3
CUST1027,2024-02-26,8
CUST1028,2024-04-24,9
CUST1029,2024-05-30,7
CUST1030,2024-03-12,2
CUST1031,2024-01-02,7
CUST1032,2024-02-10,10
CUST1033,2024-06-27,8
CUST1034,2024-04-18,10
CUST1035,2024-03-28,10
CUST1036,2024-03-12,0
CUST1037,2024-02-09,9
CUST1038,2024-02-25,9
CUST1039,2024-03-27,8
CUST1040,2024-01-27,5
CUST1041,2024-01-24,8
CUST1042,2024-04-07,3
CUST1043,2024-01-25,7
CUST1044,2024-04-01,7
CUST1045,2024-03-29,10
CUST1046,2024-06-03,10
CUST1047,2024-03-08,5
CUST1048,2024-01-12,8
CUST1049,2024-04-27,4
CUST1050,2024-05-17,9
CUST1051,2024-02-01,7
CUST1052,2024-04-06,6
CUST1053,2024-01-21,8
CUST1054,2024-05-21,8
CUST1055,2024-03-16,4
CUST1056,2024-06-09,9
CUST1057,2024-06-07,8
CUST1058,2024-04-02,9
CUST1059,2024-05-27,8
CUST1060,2024-02-19,0
CUST1061,2024-06-29,6
CUST1062,2024-01-18,0
CUST1063,2024-01-12,10
CUST1064,2024-06-18,10
CUST1065,2024-02-28,10
CUST1066,2024-03-15,6
CUST1067,2024-01-21,2
CUST1068,2024-02-29,10
CUST1069,2024-01-26,9
CUST1070,2024-04-07,2
CUST1071,2024-03-12,7
CUST1072,2024-04-26,2
CUST1073,2024-06-11,9
CUST1074,2024-04-03,9
CUST1075,2024-02-11,3
CUST1076,2024-04-04,7
CUST1077,2024-03-31,8
CUST1078,2024-02-23,5
CUST1079,2024-06-20,10
CUST1080,2024-03-09,7
CUST1081,2024-06-28,3
CUST1082,2024-06-23,8
CUST1083,2024-06-14,9
CUST1084,2024-01-19,4
CUST1085,2024-06-04,7
CUST1086,2024-06-11,10
CUST1087,2024-02-13,9
CUST1088,2024-05-16,7
CUST1089,2024-03-03,8
CUST1090,2024-02-11,3
CUST1091,2024-04-28,5
CUST1092,2024-04-07,6
CUST1093,2024-03-10,8
CUST1094,2024-06-12,5
CUST1095,2024-06-25,5
CUST1096,2024-05-22,2
CUST1097,2024-02-26,8
CUST1098,2024-06-24,5
CUST1099,2024-03-24,10
CUST1100,2024-02-26,8
CUST1101,2024-06-24,5
CUST1102,2024-03-24,10
