UserId,SignupDate,CohortMonth,ActivityDate
U0001,2024-04-12,2024-04-01,2024-04-12
U0001,2024-04-12,2024-04-01,2024-04-13
U0001,2024-04-12,2024-04-01,2024-04-14
U0001,2024-04-12,2024-04-01,2024-04-15
U0001,2024-04-12,2024-04-01,2024-04-16
U0001,2024-04-12,2024-04-01,2024-04-17
U0001,2024-04-12,2024-04-01,2024-04-18
U0001,2024-04-12,2024-04-01,2024-04-19
U0001,2024-04-12,2024-04-01,2024-04-20
U0001,2024-04-12,2024-04-01,2024-04-21
U0001,2024-04-12,2024-04-01,2024-04-22
U0001,2024-04-12,2024-04-01,2024-04-24
U0001,2024-04-12,2024-04-01,2024-04-26
U0001,2024-04-12,2024-04-01,2024-04-27
U0001,2024-04-12,2024-04-01,2024-04-29
U0001,2024-04-12,2024-04-01,2024-04-30
U0001,2024-04-12,2024-04-01,2024-05-01
U0001,2024-04-12,2024-04-01,2024-05-02
U0001,2024-04-12,2024-04-01,2024-05-03
U0001,2024-04-12,2024-04-01,2024-05-04
U0001,2024-04-12,2024-04-01,2024-05-06
U0001,2024-04-12,2024-04-01,2024-05-07
U0001,2024-04-12,2024-04-01,2024-05-08
U0001,2024-04-12,2024-04-01,2024-05-09
U0001,2024-04-12,2024-04-01,2024-05-10
U0001,2024-04-12,2024-04-01,2024-05-12
U0001,2024-04-12,2024-04-01,2024-05-13
U0001,2024-04-12,2024-04-01,2024-05-14
U0001,2024-04-12,2024-04-01,2024-05-15
U0001,2024-04-12,2024-04-01,2024-05-17
U0001,2024-04-12,2024-04-01,2024-05-22
U0001,2024-04-12,2024-04-01,2024-05-26
U0001,2024-04-12,2024-04-01,2024-05-27
U0001,2024-04-12,2024-04-01,2024-05-28
U0001,2024-04-12,2024-04-01,2024-06-01
U0001,2024-04-12,2024-04-01,2024-06-03
U0001,2024-04-12,2024-04-01,2024-06-04
U0001,2024-04-12,2024-04-01,2024-06-05
U0001,2024-04-12,2024-04-01,2024-06-07
U0001,2024-04-12,2024-04-01,2024-06-10
U0001,2024-04-12,2024-04-01,2024-06-12
U0001,2024-04-12,2024-04-01,2024-06-13
U0002,2024-06-28,2024-06-01,2024-06-28
U0002,2024-06-28,2024-06-01,2024-06-30
U0002,2024-06-28,2024-06-01,2024-07-02
U0002,2024-06-28,2024-06-01,2024-07-06
U0002,2024-06-28,2024-06-01,2024-07-08
U0002,2024-06-28,2024-06-01,2024-07-10
U0002,2024-06-28,2024-06-01,2024-07-12
U0002,2024-06-28,2024-06-01,2024-07-16
U0002,2024-06-28,2024-06-01,2024-07-20
U0002,2024-06-28,2024-06-01,2024-07-24
U0002,2024-06-28,2024-06-01,2024-07-26
U0002,2024-06-28,2024-06-01,2024-08-07
U0002,2024-06-28,2024-06-01,2024-08-25
U0002,2024-06-28,2024-06-01,2024-08-31
U0003,2024-04-02,2024-04-01,2024-04-02
U0003,2024-04-02,2024-04-01,2024-04-03
U0003,2024-04-02,2024-04-01,2024-04-04
U0003,2024-04-02,2024-04-01,2024-04-05
U0003,2024-04-02,2024-04-01,2024-04-06
U0003,2024-04-02,2024-04-01,2024-04-07
U0003,2024-04-02,2024-04-01,2024-04-08
U0003,2024-04-02,2024-04-01,2024-04-09
U0003,2024-04-02,2024-04-01,2024-04-10
U0003,2024-04-02,2024-04-01,2024-04-11
U0003,2024-04-02,2024-04-01,2024-04-12
U0003,2024-04-02,2024-04-01,2024-04-13
U0003,2024-04-02,2024-04-01,2024-04-14
U0003,2024-04-02,2024-04-01,2024-04-15
U0003,2024-04-02,2024-04-01,2024-04-16
U0003,2024-04-02,2024-04-01,2024-04-17
U0003,2024-04-02,2024-04-01,2024-04-19
U0003,2024-04-02,2024-04-01,2024-04-22
U0003,2024-04-02,2024-04-01,2024-04-25
U0003,2024-04-02,2024-04-01,2024-04-26
U0003,2024-04-02,2024-04-01,2024-04-29
U0003,2024-04-02,2024-04-01,2024-05-05
U0003,2024-04-02,2024-04-01,2024-05-06
U0003,2024-04-02,2024-04-01,2024-05-09
U0003,2024-04-02,2024-04-01,2024-05-12
U0003,2024-04-02,2024-04-01,2024-05-17
U0004,2024-01-15,2024-01-01,2024-01-15
U0004,2024-01-15,2024-01-01,2024-01-16
U0004,2024-01-15,2024-01-01,2024-01-17
U0004,2024-01-15,2024-01-01,2024-01-18
U0004,2024-01-15,2024-01-01,2024-01-19
U0004,2024-01-15,2024-01-01,2024-01-20
U0004,2024-01-15,2024-01-01,2024-01-21
U0004,2024-01-15,2024-01-01,2024-01-22
U0004,2024-01-15,2024-01-01,2024-01-23
U0004,2024-01-15,2024-01-01,2024-01-24
U0004,2024-01-15,2024-01-01,2024-01-26
U0004,2024-01-15,2024-01-01,2024-01-27
U0004,2024-01-15,2024-01-01,2024-01-28
U0004,2024-01-15,2024-01-01,2024-01-30
