CustomerID,StartDate,EndDate,MonthlyFee
1,10/17/2023,11/18/2023,493.39
2,4/25/2022,,402.83
3,1/26/2022,,240.35
4,10/9/2022,,497.94
5,9/8/2022,,373.28
6,8/17/2022,7/16/2023,147.97
7,5/23/2022,12/29/2023,77.43
8,4/15/2022,,72.56
9,11/24/2023,,463.72
10,7/13/2023,,75.6
11,3/31/2022,,433.1
12,8/28/2023,12/5/2023,353.85
13,3/9/2023,,103.95
14,2/2/2022,,160.8
15,1/31/2022,,328.72
16,4/6/2022,,312.65
17,8/12/2022,,470.62
18,8/27/2022,,372.29
19,6/2/2023,,228.1
20,9/9/2023,,185
21,1/28/2022,,388.34
22,7/29/2023,12/9/2024,329.52
23,7/23/2022,,94.99
24,10/28/2023,,277.65
25,12/20/2023,,446.39
26,7/13/2023,,216.29
27,3/6/2023,10/12/2024,366.59
28,8/14/2022,,494.25
29,4/5/2023,,53.52
30,8/27/2023,,184.72
31,10/12/2022,,472.52
32,1/7/2022,6/4/2022,450.37
33,6/13/2022,,119.95
34,12/16/2023,,144.78
35,3/9/2023,,359.37
36,12/15/2022,,277.43
37,10/12/2022,,458.67
38,6/9/2022,4/18/2024,240.61
39,8/9/2022,,51.6
40,12/11/2022,,336.7
41,4/15/2022,,383.55
42,4/5/2022,,242.46
43,1/25/2023,5/12/2023,475.27
44,4/10/2022,,117.07
45,1/3/2023,2/15/2024,312.13
46,12/19/2022,5/28/2023,68.82
47,9/11/2023,,469.89
48,9/28/2022,,67.95
49,2/14/2022,,356.93
50,4/16/2023,,209.16
51,7/4/2023,,443.62
52,5/8/2022,,387.26
53,1/23/2023,,156.53
54,3/22/2022,10/19/2022,446.64
55,7/20/2023,7/24/2024,402.07
56,10/28/2022,,351.46
57,10/6/2023,,161.68
58,9/26/2023,2/13/2024,222.14
59,1/6/2023,5/31/2024,150.1
60,8/15/2023,,257.14
61,7/16/2022,,407.91
62,12/23/2023,,60.65
63,3/13/2022,3/14/2023,175.37
64,2/16/2022,12/28/2022,208.02
65,11/9/2023,,355.78
66,8/22/2022,,199.02
67,10/24/2022,8/17/2023,130.36
68,3/23/2022,,169.46
69,8/27/2022,12/14/2023,205.56
70,4/14/2022,,246.38
71,1/25/2023,,102.04
72,10/12/2022,,135.54
73,4/10/2023,7/29/2024,50.76
74,10/13/2023,,292.3
75,1/9/2023,,383.88
76,6/16/2022,,213.9
77,1/15/2023,12/25/2024,464.35
78,12/30/2022,,348.52
79,8/3/2022,7/6/2023,278.21
80,11/18/2023,,196.78
81,10/1/2022,,299.49
82,12/20/2023,,473.16
83,12/1/2023,,456.26
84,10/26/2023,,185.43
85,3/15/2022,,50.18
86,9/16/2023,,243.45
87,10/13/2023,,344.62
88,6/25/2022,,248.97
89,7/1/2023,,262.93
90,9/8/2022,,408.21
91,6/17/2022,10/11/2022,177.7
92,4/19/2023,,328.67
93,1/24/2023,10/21/2023,352.76
94,10/4/2022,,139.61
95,10/18/2023,7/24/2024,492.77
96,12/6/2023,,395.82
97,7/25/2023,,448.76
98,8/13/2022,,373.26
99,12/3/2023,,229.84
100,11/29/2022,1/3/2023,451.7
101,2/27/2022,,448.46
102,8/23/2022,,148.48
103,2/2/2022,,363.16
104,11/20/2022,,300.83
105,2/15/2023,,104.61
106,10/2/2022,2/19/2024,350.41
107,3/9/2022,,317.95
108,8/5/2022,,451.14
109,8/4/2023,,373.67
110,11/19/2022,,423.76
111,8/6/2022,,453.74
112,11/3/2023,,263.6
113,5/27/2023,,161.26
114,2/10/2023,,394.62
115,10/21/2023,,332.04
116,4/15/2023,,84.87
117,5/27/2022,,172.27
118,9/29/2022,,293.07
119,5/23/2022,2/13/2023,222.37
120,9/10/2022,5/17/2023,78.9
121,7/29/2023,,294.18
122,7/6/2023,,143.08
123,9/27/2022,,457.18
124,8/22/2023,,362.99
125,3/15/2023,,394.52
126,8/21/2023,,52.65
127,2/13/2023,,389.06
128,1/6/2023,,479.04
129,8/13/2022,,386.38
130,5/22/2022,,321.46
131,6/6/2023,,148.74
132,5/21/2023,,63.06
133,4/4/2022,,355.61
134,2/18/2022,,124.27
135,4/23/2022,,107.43
136,6/6/2022,,62.13
137,10/5/2023,,303.98
138,6/13/2022,5/1/2024,242.88
139,11/28/2023,,131.78
140,3/9/2023,,197.31
141,9/3/2023,,201.88
142,3/7/2022,,175.22
143,1/30/2023,,239.7
144,1/26/2023,,261.64
145,9/3/2023,,73.44
146,4/25/2023,,150.9
147,6/26/2023,,68.12
148,9/15/2022,6/25/2023,139.71
149,7/21/2023,1/23/2024,157.35
150,1/12/2022,,101.48
151,11/28/2023,,259.27
152,4/28/2022,,216
153,11/30/2023,,483.68
154,7/4/2023,,400.01
155,10/1/2022,9/14/2023,98.64
156,10/19/2023,10/2/2024,309.11
157,12/15/2022,,218.89
158,4/25/2022,,139.25
159,10/28/2022,,423.76
160,3/22/2023,,363.74
161,6/11/2022,,357.92
162,4/10/2023,,408.3
163,1/4/2022,,68.48
164,9/27/2022,,347.68
165,5/28/2023,,203.55
166,7/2/2022,,420.05
167,6/4/2023,7/8/2024,336.01
168,4/19/2022,,368.29
169,10/3/2023,,380.21
170,11/2/2022,,171.54
171,10/17/2023,,292.18
172,6/4/2023,,246.01
173,9/16/2023,,170.78
174,7/23/2022,,423.83
175,6/6/2022,10/10/2023,159.74
176,1/18/2023,,324.65
177,6/15/2022,,62.91
178,7/7/2023,,131.83
179,6/28/2023,,409.02
180,1/1/2022,,446.14
181,9/6/2023,,174.32
182,11/28/2022,7/11/2023,88.53
183,5/16/2023,,269.86
184,1/20/2022,,360.77
185,4/25/2022,,270.87
186,1/7/2023,,91.87
187,11/11/2022,,361.3
188,9/3/2022,,311.7
189,3/1/2022,,288.91
190,9/4/2022,,385.67
191,8/4/2023,,366.28
192,3/22/2022,,163.13
193,3/29/2022,11/11/2022,192
194,5/13/2023,,477.89
195,3/12/2022,,136.19
196,6/30/2023,,174.42
197,5/9/2022,9/1/2024,392.09
198,5/12/2022,,491.23
199,11/7/2023,,183.31
200,5/2/2023,,186.02
201,7/17/2023,,106.96
202,6/19/2022,9/12/2022,299.01
203,9/29/2022,,106.83
204,6/25/2023,,270.9
205,9/14/2023,,308.33
206,3/10/2023,,248.21
207,8/5/2022,10/26/2022,163.62
208,7/7/2023,,101.34
209,12/8/2023,,83.34
210,7/25/2022,,74.12
211,1/1/2024,,477.11
212,11/16/2022,8/27/2023,103.3
213,2/13/2023,,322.84
214,11/19/2023,,151.56
215,10/28/2023,,252.73
216,1/18/2023,,437.07
217,3/25/2023,,187.42
218,6/14/2023,,324.33
219,4/8/2023,,476.42
220,5/4/2022,,144.96
221,9/11/2022,,120.68
222,8/19/2022,12/3/2022,120.44
223,3/7/2022,,360.22
224,12/13/2022,,64.69
225,1/22/2022,,177.22
226,8/26/2023,,82.03
227,7/22/2023,,169.05
228,8/24/2022,,315.41
229,8/26/2023,,139.02
230,8/14/2022,5/1/2023,341.44
231,1/8/2022,,421.98
232,3/14/2022,9/29/2022,406.68
233,12/26/2023,,420.91
234,10/9/2023,,247.62
235,3/2/2022,,186.84
236,8/23/2022,,172.51
237,3/11/2022,,246.99
238,2/2/2022,,450.24
239,12/5/2022,,321.67
240,3/14/2022,12/3/2022,482.86
241,6/11/2023,,308.84
242,9/1/2022,,499.81
243,10/13/2022,,171.28
244,11/17/2023,6/13/2024,261.73
245,5/13/2023,,462.23
246,8/8/2022,4/28/2024,246.15
247,7/7/2023,,486.07
248,5/16/2022,,233.76
249,8/8/2023,,97.07
250,8/14/2023,11/7/2024,362.15
251,4/30/2023,,475.34
252,9/6/2022,,297.54
253,4/30/2023,,191.53
254,2/21/2023,,486.58
255,7/14/2022,,281.57
256,4/7/2022,,345.95
257,4/10/2022,,235.96
258,11/6/2023,12/10/2024,330.19
259,3/18/2023,,248.92
260,12/29/2022,10/28/2023,297.15
261,3/10/2023,,247.15
262,2/25/2023,,104.64
263,4/24/2023,,323.99
264,2/25/2022,,121.27
265,11/21/2023,,298.51
266,11/1/2023,3/26/2024,257.65
267,10/24/2023,4/28/2024,274.27
268,4/11/2022,,278.99
269,3/4/2022,,425.63
270,2/17/2023,,159.68
271,12/14/2022,,222.61
272,4/22/2022,,278.71
273,9/12/2022,,438.81
274,7/16/2022,,405.5
275,7/14/2022,,470.41
276,7/4/2023,,419.25
277,4/5/2023,,184.35
278,5/24/2022,,499.51
279,3/9/2023,,116.87
280,7/7/2022,,205.31
281,10/13/2022,,294.54
282,4/19/2023,,194.8
283,9/13/2022,6/14/2023,307.31
284,3/19/2022,,399
285,3/30/2023,8/25/2024,367.35
286,7/18/2023,,223.74
287,4/11/2022,,419.34
288,2/21/2022,,272.9
289,10/30/2023,,484.41
290,7/8/2023,,95.16
291,1/16/2022,,94.87
292,4/6/2022,,56.91
293,8/31/2022,7/31/2024,486.48
294,6/20/2022,4/17/2023,202.35
295,2/21/2023,,342.43
296,5/13/2023,,433.55
297,5/8/2023,,221
298,8/7/2022,,373.42
299,2/15/2023,,442.57
300,3/2/2022,6/10/2022,155.65
