Region,Year,Month,SalesAmount
North,2024,January,120000
South,2024,January,95000
East,2024,January,87000
West,2024,January,102000
North,2024,February,130000
South,2024,February,103000
East,2024,February,94000
West,2024,February,111000
North,2024,March,140000
South,2024,March,111000
East,2024,March,101000
West,2024,March,120000
North,2024,April,150000
South,2024,April,119000
East,2024,April,108000
West,2024,April,129000
North,2024,May,160000
South,2024,May,127000
East,2024,May,115000
West,2024,May,138000
North,2024,June,170000
South,2024,June,135000
East,2024,June,122000
West,2024,June,147000
