UserID,SignupDate,EmailVerifiedDate,AppInstalledDate,FirstLoginDate,FirstValueDate,TTFV_Hours,SignupWeek
1,2024-06-12,2024-06-12 08:00:00,,,,,2024-06-10
2,2024-01-29,2024-01-29 21:00:00,2024-01-30 08:00:00,2024-01-30 17:00:00,2024-01-31 12:00:00,60.0,2024-01-29
3,2024-01-07,2024-01-07 03:00:00,,,,,2024-01-01
4,2024-03-11,2024-03-11 02:00:00,2024-03-11 14:00:00,2024-03-12 00:00:00,,,2024-03-11
5,2024-03-03,2024-03-03 20:00:00,2024-03-05 10:00:00,2024-03-05 20:00:00,2024-03-08 05:00:00,125.0,2024-02-26
6,2024-02-27,2024-02-27 04:00:00,2024-02-28 11:00:00,2024-02-29 10:00:00,2024-03-02 01:00:00,97.0,2024-02-26
7,2024-02-05,2024-02-05 23:00:00,2024-02-07 02:00:00,2024-02-07 11:00:00,2024-02-10 04:00:00,124.0,2024-02-05
8,2024-01-27,2024-01-27 18:00:00,,,,,2024-01-22
9,2024-06-22,2024-06-22 16:00:00,2024-06-23 22:00:00,2024-06-24 01:00:00,2024-06-24 07:00:00,55.0,2024-06-17
10,2024-05-19,2024-05-19 14:00:00,2024-05-20 12:00:00,2024-05-21 08:00:00,,,2024-05-13
11,2024-01-23,,,,,,2024-01-22
12,2024-05-31,2024-05-31 09:00:00,2024-05-31 12:00:00,2024-05-31 15:00:00,,,2024-05-27
13,2024-04-18,2024-04-18 08:00:00,2024-04-20 05:00:00,2024-04-21 00:00:00,2024-04-21 03:00:00,75.0,2024-04-15
14,2024-01-09,,,,,,2024-01-08
15,2024-01-08,2024-01-08 22:00:00,2024-01-09 17:00:00,2024-01-10 12:00:00,2024-01-10 18:00:00,66.0,2024-01-08
16,2024-01-24,2024-01-24 06:00:00,2024-01-25 14:00:00,,,,2024-01-22
17,2024-02-25,2024-02-25 17:00:00,,,,,2024-02-19
18,2024-02-29,2024-02-29 21:00:00,2024-03-02 03:00:00,,,,2024-02-26
