QueryID,QueryText,ExecutionDate,DurationMs,UserName,DatabaseName,IndexScan,TableScan
Q0026,"INSERT INTO Sales (product_id, quantity, sale_date) VALUES (?, ?, ?);",2024-06-11,111.39,developer,FinanceDB,True,False
Q0108,WITH RecentOrders AS (SELECT * FROM Orders WHERE order_date > '2024-06-01') SELECT * FROM RecentOrders WHERE total > 500;,2024-01-06,238.18,developer,InventoryDB,True,False
Q0078,"SELECT e.name, d.department_name FROM Employees e LEFT JOIN Departments d ON e.dept_id = d.id;",2024-03-04,91.96,analyst1,InventoryDB,True,False
Q0198,"INSERT INTO Sales (product_id, quantity, sale_date) VALUES (?, ?, ?);",2024-03-17,46.68,report_viewer,FinanceDB,False,False
Q0105,"SELECT department, AVG(salary) FROM Employees GROUP BY department;",2024-01-04,96.36,etl_user,SalesDB,True,False
Q0141,SELECT * FROM Orders WHERE order_date BETWEEN '2024-01-01' AND '2024-03-31';,2024-03-30,45.05,etl_user,FinanceDB,True,False
Q0160,SELECT * FROM Orders WHERE order_date BETWEEN '2024-01-01' AND '2024-03-31';,2024-02-11,107.73,etl_user,FinanceDB,False,True
Q0181,"SELECT id, name, department FROM Employees WHERE status = 'active';",2024-04-17,381.53,analyst1,HRDB,False,False
Q0009,"SELECT id, name, department FROM Employees WHERE status = 'active';",2024-03-05,120.64,developer,FinanceDB,False,True
Q0098,UPDATE Products SET price = price * 1.1 WHERE discontinued = 0;,2024-01-15,381.3,report_viewer,InventoryDB,True,False
Q0179,WITH RecentOrders AS (SELECT * FROM Orders WHERE order_date > '2024-06-01') SELECT * FROM RecentOrders WHERE total > 500;,2024-06-06,427.09,developer,SalesDB,False,False
Q0094,"SELECT department, AVG(salary) FROM Employees GROUP BY department;",2024-03-27,185.64,report_viewer,InventoryDB,True,False
Q0185,"DELETE FROM Logs WHERE event_date < DATEADD(month, -6, GETDATE());",2024-05-12,197.18,etl_user,FinanceDB,True,False
Q0007,UPDATE Products SET price = price * 1.1 WHERE discontinued = 0;,2024-01-27,52.75,report_viewer,SalesDB,True,False
Q0188,"SELECT product_id, COUNT(*) as sales_count FROM Sales GROUP BY product_id HAVING COUNT(*) > 100;",2024-02-08,253.52,developer,InventoryDB,True,False
Q0140,UPDATE Products SET price = price * 1.1 WHERE discontinued = 0;,2024-04-17,135.19,report_viewer,HRDB,True,False
Q0028,WITH RecentOrders AS (SELECT * FROM Orders WHERE order_date > '2024-06-01') SELECT * FROM RecentOrders WHERE total > 500;,2024-03-21,335.91,analyst1,HRDB,True,False
Q0035,"SELECT Orders.order_id, Customers.customer_name FROM Orders INNER JOIN Customers ON Orders.customer_id = Customers.id;",2024-03-19,17.28,developer,HRDB,True,False
Q0181,WITH RecentOrders AS (SELECT * FROM Orders WHERE order_date > '2024-06-01') SELECT * FROM RecentOrders WHERE total > 500;,2024-04-01,469.33,admin,SalesDB,True,False
Q0148,"SELECT Orders.order_id, Customers.customer_name FROM Orders INNER JOIN Customers ON Orders.customer_id = Customers.id;",2024-01-18,241.41,analyst1,HRDB,True,False
Q0036,"INSERT INTO Sales (product_id, quantity, sale_date) VALUES (?, ?, ?);",2024-01-20,53.81,admin,HRDB,True,False
Q0180,UPDATE Products SET price = price * 1.1 WHERE discontinued = 0;,2024-05-24,297.35,report_viewer,SalesDB,False,False
Q0129,UPDATE Products SET price = price * 1.1 WHERE discontinued = 0;,2024-05-08,182.02,report_viewer,HRDB,True,False
Q0143,"SELECT e.name, d.department_name FROM Employees e LEFT JOIN Departments d ON e.dept_id = d.id;",2024-02-25,143.59,admin,FinanceDB,False,False
Q0021,"DELETE FROM Logs WHERE event_date < DATEADD(month, -6, GETDATE());",2024-01-28,500.16,etl_user,SalesDB,False,False
Q0083,"SELECT department, AVG(salary) FROM Employees GROUP BY department;",2024-03-27,125.7,etl_user,InventoryDB,True,False
Q0076,"DELETE FROM Logs WHERE event_date < DATEADD(month, -6, GETDATE());",2024-02-12,225.71,etl_user,SalesDB,False,True
Q0143,"SELECT id, name, department FROM Employees WHERE status = 'active';",2024-02-04,90.69,report_viewer,InventoryDB,True,False
Q0012,"DELETE FROM Logs WHERE event_date < DATEADD(month, -6, GETDATE());",2024-01-14,307.34,admin,HRDB,False,False
Q0155,"SELECT e.name, d.department_name FROM Employees e LEFT JOIN Departments d ON e.dept_id = d.id;",2024-05-29,308.44,report_viewer,InventoryDB,True,False
Q0172,"SELECT Orders.order_id, Customers.customer_name FROM Orders INNER JOIN Customers ON Orders.customer_id = Customers.id;",2024-02-18,416.9,report_viewer,SalesDB,False,False
Q0084,UPDATE Products SET price = price * 1.1 WHERE discontinued = 0;,2024-04-29,307.47,report_viewer,SalesDB,False,False
Q0120,"SELECT product_id, COUNT(*) as sales_count FROM Sales GROUP BY product_id HAVING COUNT(*) > 100;",2024-01-19,184.4,developer,InventoryDB,False,True
Q0142,"SELECT product_id, COUNT(*) as sales_count FROM Sales GROUP BY product_id HAVING COUNT(*) > 100;",2024-03-23,151.42,etl_user,InventoryDB,False,True
Q0010,WITH RecentOrders AS (SELECT * FROM Orders WHERE order_date > '2024-06-01') SELECT * FROM RecentOrders WHERE total > 500;,2024-02-20,156.37,analyst1,FinanceDB,False,False
Q0197,"DELETE FROM Logs WHERE event_date < DATEADD(month, -6, GETDATE());",2024-06-25,380.99,admin,SalesDB,True,False
Q0125,"DELETE FROM Logs WHERE event_date < DATEADD(month, -6, GETDATE());",2024-04-17,301.54,etl_user,InventoryDB,False,False
Q0008,"INSERT INTO Sales (product_id, quantity, sale_date) VALUES (?, ?, ?);",2024-02-29,79.72,analyst1,HRDB,False,False
Q0166,"DELETE FROM Logs WHERE event_date < DATEADD(month, -6, GETDATE());",2024-01-29,11.46,developer,SalesDB,True,False
Q0053,"SELECT id, name, department FROM Employees WHERE status = 'active';",2024-03-06,59.75,analyst1,SalesDB,True,False
Q0181,"SELECT id, name, department FROM Employees WHERE status = 'active';",2024-02-15,154.71,admin,InventoryDB,True,False
Q0111,"SELECT e.name, d.department_name FROM Employees e LEFT JOIN Departments d ON e.dept_id = d.id;",2024-02-24,218.82,report_viewer,FinanceDB,False,False
Q0107,"SELECT Orders.order_id, Customers.customer_name FROM Orders INNER JOIN Customers ON Orders.customer_id = Customers.id;",2024-05-30,337.5,analyst1,FinanceDB,True,False
Q0160,WITH RecentOrders AS (SELECT * FROM Orders WHERE order_date > '2024-06-01') SELECT * FROM RecentOrders WHERE total > 500;,2024-04-24,193.71,report_viewer,InventoryDB,True,False
Q0026,SELECT * FROM Orders WHERE order_date BETWEEN '2024-01-01' AND '2024-03-31';,2024-01-02,131.36,admin,SalesDB,True,False
Q0117,SELECT * FROM Orders WHERE order_date BETWEEN '2024-01-01' AND '2024-03-31';,2024-04-07,38.4,etl_user,InventoryDB,True,False
Q0180,SELECT * FROM Orders WHERE order_date BETWEEN '2024-01-01' AND '2024-03-31';,2024-05-19,48.44,admin,HRDB,True,False
Q0152,"SELECT Orders.order_id, Customers.customer_name FROM Orders INNER JOIN Customers ON Orders.customer_id = Customers.id;",2024-06-22,340.65,etl_user,FinanceDB,True,False
Q0142,UPDATE Products SET price = price * 1.1 WHERE discontinued = 0;,2024-04-27,711.94,developer,HRDB,True,False
Q0163,"SELECT id, name, department FROM Employees WHERE status = 'active';",2024-01-05,309.84,developer,SalesDB,False,False
Q0161,"SELECT id, name, department FROM Employees WHERE status = 'active';",2024-04-27,6.54,report_viewer,InventoryDB,True,False
Q0002,WITH RecentOrders AS (SELECT * FROM Orders WHERE order_date > '2024-06-01') SELECT * FROM RecentOrders WHERE total > 500;,2024-01-13,238.97,admin,FinanceDB,False,False
Q0063,"SELECT e.name, d.department_name FROM Employees e LEFT JOIN Departments d ON e.dept_id = d.id;",2024-01-26,67.33,admin,SalesDB,True,False
Q0032,WITH RecentOrders AS (SELECT * FROM Orders WHERE order_date > '2024-06-01') SELECT * FROM RecentOrders WHERE total > 500;,2024-05-05,167.06,analyst1,InventoryDB,False,False
Q0129,WITH RecentOrders AS (SELECT * FROM Orders WHERE order_date > '2024-06-01') SELECT * FROM RecentOrders WHERE total > 500;,2024-02-19,143.42,analyst1,HRDB,True,False
Q0185,"SELECT id, name, department FROM Employees WHERE status = 'active';",2024-02-01,151.14,analyst1,HRDB,False,False
