TransactionID,Date,Product,Revenue,COGS
1,2023-02-12,Gadget X,233.07,109.08
2,2022-04-13,Widget C,361.6,162.6
3,2023-02-19,Widget B,921.54,692.91
4,2023-02-03,Widget A,300.96,165.26
5,2024-05-06,Widget B,124.74,90.07
6,2022-08-30,Widget C,179.22,102.31
7,2023-05-08,Widget B,479.0,264.16
8,2023-08-28,Gadget X,830.76,555.29
9,2022-09-26,Widget C,563.69,353.99
10,2023-07-07,Widget B,711.99,369.89
11,2023-03-13,Widget C,985.14,642.42
12,2022-07-26,Widget B,748.47,315.98
13,2022-01-27,Widget C,143.97,62.73
14,2022-09-05,Gadget X,886.32,622.28
15,2024-04-08,Widget C,452.4,270.92
16,2022-08-11,Widget C,838.76,517.7
17,2022-06-07,Widget C,928.73,520.27
18,2023-08-26,Widget C,341.63,254.58
19,2022-08-13,Widget C,237.57,110.91
20,2023-01-02,Widget C,942.31,728.26
21,2022-10-05,Gadget X,822.3,569.01
22,2024-01-26,Widget C,517.27,325.46
23,2022-08-20,Gadget Y,446.57,356.15
24,2024-03-11,Gadget Y,179.71,80.3
25,2024-03-23,Widget B,832.9,519.68
26,2022-05-02,Widget C,863.65,476.14
27,2024-01-19,Widget A,892.71,526.0
28,2023-08-21,Widget C,185.76,83.99
29,2024-05-04,Widget B,199.27,123.64
30,2024-01-02,Gadget X,403.9,272.63
31,2024-02-12,Widget C,155.41,119.93
32,2023-04-11,Gadget Y,157.64,113.34
33,2022-10-02,Gadget Y,977.67,618.68
34,2024-04-02,Gadget Y,493.05,296.01
35,2023-09-10,Gadget Y,244.73,133.74
36,2022-01-11,Gadget Y,398.96,316.7
37,2023-07-10,Widget C,684.04,493.66
38,2023-01-22,Widget A,419.53,263.89
39,2022-10-24,Gadget Y,709.19,476.34
40,2023-01-15,Gadget X,464.81,273.13
41,2023-11-06,Widget B,175.36,103.79
42,2024-02-10,Widget B,198.36,97.34
43,2022-01-04,Widget C,526.83,405.15
44,2023-03-07,Widget B,371.03,205.14
45,2023-10-03,Widget B,473.91,193.83
46,2024-06-11,Widget C,830.19,523.84
47,2024-01-18,Gadget Y,476.7,318.66
48,2022-10-10,Widget B,826.33,392.48
49,2024-01-18,Gadget Y,441.48,269.14
50,2022-04-07,Gadget X,894.6,537.61
51,2024-04-14,Widget B,953.34,411.73
52,2023-06-03,Widget A,948.32,570.95
53,2023-05-16,Widget B,919.27,600.95
54,2022-08-30,Widget C,274.79,147.01
55,2024-05-04,Widget A,126.57,77.75
56,2022-11-18,Gadget X,977.49,420.12
57,2022-01-28,Widget B,461.9,209.92
58,2023-09-08,Widget A,192.19,82.17
59,2024-04-13,Widget C,891.34,661.77
60,2023-06-15,Gadget X,262.01,156.96
61,2022-12-23,Widget B,327.47,222.53
62,2022-04-11,Widget C,694.26,503.69
63,2023-04-03,Gadget Y,917.83,546.97
64,2022-09-19,Gadget X,702.91,502.7
65,2023-01-25,Gadget Y,570.94,286.73
66,2024-03-25,Gadget Y,743.85,525.48
67,2023-06-06,Gadget X,549.21,321.61
68,2023-03-21,Widget B,568.68,320.85
69,2023-05-13,Widget B,225.4,107.14
70,2022-09-28,Widget A,714.29,322.47
71,2023-02-28,Widget B,764.8,398.71
72,2022-02-10,Widget C,165.15,115.98
73,2022-01-28,Widget A,865.24,353.98
74,2023-06-27,Widget B,135.58,60.89
75,2022-08-29,Gadget Y,811.57,501.15
76,2024-04-13,Widget C,294.59,125.2
77,2023-04-26,Widget A,924.31,448.11
78,2023-10-30,Widget C,638.39,371.38
79,2023-01-01,Gadget Y,824.13,649.16
80,2023-06-17,Widget C,262.65,132.55
81,2022-12-21,Widget C,756.18,478.48
82,2022-02-20,Widget B,589.02,325.06
83,2022-12-14,Widget A,741.77,329.06
84,2022-05-31,Widget C,152.67,77.98
85,2022-12-15,Gadget Y,765.68,445.07
86,2023-08-12,Widget A,235.56,137.59
87,2023-02-26,Widget C,763.68,555.67
88,2022-12-13,Gadget Y,899.31,458.82
89,2023-06-06,Widget A,563.75,263.26
90,2024-05-10,Widget A,432.85,179.67
91,2022-02-04,Widget A,992.42,729.35
92,2023-08-21,Gadget X,232.99,116.5
93,2023-01-27,Widget B,658.02,417.46
94,2024-04-13,Gadget X,708.29,406.88
95,2023-07-03,Gadget Y,272.42,109.71
96,2023-03-12,Widget A,855.48,528.62
97,2023-09-10,Gadget Y,789.01,344.8
98,2024-02-10,Gadget X,672.71,293.61
99,2023-04-21,Widget A,790.29,436.97
100,2023-03-23,Gadget Y,527.12,337.89
