UserID,Revenue,OrderDate
user_4,193.52,2025-03-28
user_1,475.85,2025-06-16
user_9,368.68,2025-06-10
user_8,303.34,2025-04-01
user_8,86.45,2025-06-22
user_5,86.44,2025-05-13
user_4,38.46,2025-06-22
user_18,434.43,2025-05-06
user_3,304.55,2025-04-26
user_19,356.96,2025-03-21
user_14,20.09,2025-02-28
user_2,485.26,2025-06-03
user_1,417.9,2025-05-30
user_3,114.05,2025-02-16
user_7,99.09,2025-02-05
user_8,99.87,2025-02-21
user_17,159.08,2025-03-04
user_20,267.13,2025-07-03
user_1,221.65,2025-03-05
user_18,152.7,2025-07-17
user_7,309.81,2025-05-12
user_18,78.35,2025-06-25
user_14,153.15,2025-02-09
user_8,189.52,2025-05-02
user_15,233.47,2025-05-01
user_19,394.74,2025-06-25
user_9,107.84,2025-05-23
user_1,261.97,2025-06-08
user_6,300.28,2025-03-29
user_14,32.76,2025-06-14
user_11,307.7,2025-01-26
user_9,93.56,2025-07-17
user_5,41.88,2025-02-22
user_7,474.95,2025-07-17
user_11,483.16,2025-06-10
user_4,406.11,2025-04-02
user_3,159.26,2025-07-07
user_13,57.86,2025-04-21
user_4,345.27,2025-02-21
user_12,225.67,2025-04-09
user_12,69.8,2025-05-15
user_20,252.64,2025-03-05
user_9,26.85,2025-05-20
user_2,455.57,2025-01-24
user_15,136.8,2025-04-01
user_18,334.64,2025-06-01
user_4,162.74,2025-03-10
user_13,264.83,2025-06-02
user_3,277.89,2025-02-20
user_18,100.58,2025-07-03
user_10,485.1,2025-04-10
user_20,389.82,2025-07-06
user_12,470.35,2025-06-02
user_19,448.47,2025-06-28
user_7,302.97,2025-03-15
user_3,461.72,2025-03-04
user_2,53.36,2025-04-29
user_8,106.03,2025-03-06
user_10,32.16,2025-06-11
user_3,169.41,2025-06-08
user_8,200.45,2025-01-24
user_4,142.96,2025-06-26
user_13,416.08,2025-04-16
user_9,184.81,2025-05-29
user_15,147.66,2025-01-28
user_12,275.92,2025-02-21
user_6,79.05,2025-04-26
user_12,403.08,2025-04-12
user_12,46.53,2025-03-26
user_7,493.57,2025-02-07
user_9,388.4,2025-03-26
user_3,107.37,2025-06-18
user_20,12.71,2025-02-13
user_6,409.58,2025-02-14
user_18,356.36,2025-05-28
user_8,367.21,2025-02-10
user_6,387.92,2025-06-09
user_15,46.28,2025-02-25
user_13,185.65,2025-02-25
user_9,66.78,2025-07-11
user_18,432.92,2025-05-25
user_8,315.42,2025-06-13
user_11,172.14,2025-03-07
user_2,41.14,2025-04-01
user_8,162.38,2025-06-08
user_2,169.34,2025-06-28
user_11,367.51,2025-05-12
user_13,322.4,2025-03-19
user_9,444.73,2025-06-11
user_3,241.39,2025-07-19
user_7,68.6,2025-03-16
user_19,359.49,2025-04-13
user_11,382.78,2025-05-06
user_7,285.03,2025-07-14
user_16,387.77,2025-07-09
user_13,251.96,2025-04-29
user_15,266.14,2025-05-16
user_5,219.5,2025-06-05
user_9,22.46,2025-05-19
user_5,62.87,2025-02-23
