SaleID,CustomerID,OrderDate,Revenue
1,9,4/20/2023,87.8
2,23,3/15/2024,343.03
3,13,5/6/2024,157.59
4,6,12/1/2022,100.19
5,23,2/3/2022,85.88
6,21,1/16/2024,252.56
7,17,3/14/2024,461.36
8,1,7/4/2024,226.75
9,24,2/16/2024,303.52
10,19,7/19/2023,418.97
11,1,6/5/2024,335.01
12,24,7/3/2023,129.66
13,3,3/21/2024,427.54
14,9,5/24/2022,149.57
15,2,3/19/2023,281.26
16,15,7/31/2022,428.58
17,18,6/5/2023,467.77
18,14,9/5/2022,418.2
19,25,10/2/2022,217.72
20,17,1/13/2023,65.85
21,16,12/30/2023,389.04
22,3,9/22/2022,192.19
23,8,12/17/2023,495.03
24,25,10/28/2023,90.02
25,24,8/11/2023,396.29
26,24,3/14/2022,315.11
27,20,3/27/2022,264.01
28,19,3/26/2024,449.61
29,18,9/12/2024,356.49
30,17,5/18/2024,488.73
31,21,9/29/2023,397.09
32,16,8/20/2024,475.38
33,10,2/12/2023,323.74
34,17,1/16/2022,384.1
35,18,2/2/2022,297.72
36,17,1/22/2023,498.28
37,15,4/12/2024,258.93
38,11,3/27/2022,280.26
39,5,11/30/2022,173.57
40,18,9/19/2024,278.9
41,6,3/12/2023,292.27
42,21,6/2/2023,320.86
43,11,2/13/2022,62.74
44,22,5/15/2022,178.34
45,14,3/13/2022,346.1
46,9,8/3/2023,391.77
47,15,9/26/2024,173.94
48,10,9/12/2024,274.37
49,9,8/6/2024,293.54
50,10,3/19/2022,291.21
51,10,5/1/2024,412.68
52,13,9/1/2023,111.4
53,21,7/27/2024,293.63
54,11,12/5/2023,206.51
55,7,4/11/2022,124.68
56,17,7/30/2024,386.22
57,9,6/23/2022,255.59
58,22,1/7/2023,151.89
59,24,7/8/2023,291
60,15,2/24/2024,353.16
61,1,6/7/2022,418.24
62,24,8/30/2024,221.66
63,5,2/6/2023,184.26
64,7,11/10/2023,70.61
65,8,1/11/2022,379.18
66,13,7/15/2022,469.37
67,24,1/18/2022,129.8
68,3,2/9/2023,463.59
69,16,7/6/2023,51.7
70,4,6/25/2024,181.77
71,10,6/16/2024,72.6
72,17,1/17/2024,51.02
73,17,2/17/2022,482.13
74,17,4/19/2022,302.68
75,7,12/26/2022,247.79
76,23,3/18/2022,57.54
77,17,7/3/2023,431.69
78,17,3/24/2024,128.97
79,16,1/25/2022,191
80,16,5/9/2023,374.51
81,12,10/7/2023,332.53
82,25,6/29/2023,228.28
83,4,1/29/2023,261.08
84,7,11/17/2022,329.84
85,7,3/30/2022,148.37
86,1,4/30/2024,105.65
87,19,7/17/2024,371.09
88,22,4/1/2022,347.96
89,13,1/9/2022,220.76
90,1,3/2/2024,444.83
91,21,3/7/2022,399.81
92,5,11/16/2023,271.85
93,12,11/21/2022,429.87
94,22,3/7/2023,489.93
95,1,7/31/2023,285.19
96,21,5/7/2022,358.95
97,9,11/29/2023,187.58
98,9,6/9/2024,52.24
99,24,10/31/2023,247.33
100,21,8/31/2022,165.19
